t,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,yaw,dyaw,power,mode_xy,mode_z
0.280000,0.051916504,0.048550564,1.988459515,0.503198697,0.469131930,-0.109980718,2.869323315,2.653541417,-0.599159079,3.067687552,2.574836197,-0.300205059,0.000000000,0.000000000,true,0,0
0.290000,0.057092450,0.053374972,1.987329704,0.532038203,0.495789263,-0.115985514,2.897870541,2.677246469,-0.601620764,2.643256411,2.167628408,-0.192534223,0.000000000,0.000000000,true,0,0
0.300000,0.062558149,0.058467072,1.986139741,0.561142110,0.522663431,-0.122009584,2.922218415,2.696923069,-0.603017808,2.227816987,1.769145959,-0.087276878,0.000000000,0.000000000,true,0,0
0.310000,0.068316035,0.063828831,1.984889484,0.590468874,0.549714587,-0.128042402,2.942456853,2.712658472,-0.603374346,1.821369281,1.379388849,0.015566978,0.000000000,0.000000000,true,0,0
0.320000,0.074368134,0.069461824,1.983578898,0.619977849,0.576903754,-0.134073683,2.958675773,2.724539931,-0.602714513,1.423913292,0.998357078,0.115997345,0.000000000,0.000000000,true,0,0
0.330000,0.080716067,0.075367239,1.982208049,0.649629290,0.604192830,-0.140093385,2.970965092,2.732654698,-0.601062444,1.035449019,0.626050647,0.214014221,0.000000000,0.000000000,true,0,0
0.340000,0.087361065,0.081545889,1.980777101,0.679384352,0.631544583,-0.146091705,2.979414726,2.737090028,-0.598442274,0.655976464,0.262469555,0.309617608,0.000000000,0.000000000,true,0,0
0.350000,0.094303973,0.087998218,1.979286318,0.709205086,0.658922657,-0.152059084,2.984114593,2.737933174,-0.594878137,0.285495627,-0.092386198,0.402807505,0.000000000,0.000000000,true,0,0
0.360000,0.101545262,0.094724311,1.977736054,0.739054444,0.686291564,-0.157986202,2.985154611,2.735271389,-0.590394169,-0.075993494,-0.438516611,0.493583912,0.000000000,0.000000000,true,0,0
0.370000,0.109085036,0.101723903,1.976126758,0.768896278,0.713616692,-0.163863982,2.982624696,2.729191926,-0.585014504,-0.428490897,-0.775921685,0.581946829,0.000000000,0.000000000,true,0,0
0.380000,0.116923045,0.108996387,1.974458968,0.798695338,0.740864301,-0.169683587,2.976614765,2.719782039,-0.578763277,-0.771996583,-1.104601419,0.667896257,0.000000000,0.000000000,true,0,0
0.390000,0.125058686,0.116540821,1.972733309,0.828417273,0.768001522,-0.175436423,2.967214737,2.707128982,-0.571664624,-1.106510551,-1.424555814,0.751432195,0.000000000,0.000000000,true,0,0
0.400000,0.133491021,0.124355943,1.970950490,0.858028632,0.794996361,-0.181114135,2.954514527,2.691320008,-0.563742678,-1.432032803,-1.735784870,0.832554643,0.000000000,0.000000000,true,0,0
0.410000,0.142218781,0.132440170,1.969111304,0.887496863,0.821817694,-0.186708612,2.938604053,2.672442369,-0.555021576,-1.748563337,-2.038288586,0.911263601,0.000000000,0.000000000,true,0,0
0.420000,0.151240376,0.140791617,1.967216622,0.916790312,0.848435270,-0.192211983,2.919573232,2.650583320,-0.545525451,-2.056102154,-2.332066963,0.987559069,0.000000000,0.000000000,true,0,0
0.430000,0.160553902,0.149408098,1.965267393,0.945878226,0.874819713,-0.197616618,2.897511982,2.625830114,-0.535278439,-2.354649254,-2.617120000,1.061441048,0.000000000,0.000000000,true,0,0
0.440000,0.170157156,0.158287139,1.963264643,0.974730750,0.900942516,-0.202915129,2.872510220,2.598270005,-0.524304675,-2.644204637,-2.893447698,1.132909536,0.000000000,0.000000000,true,0,0
0.450000,0.180047636,0.167425984,1.961209468,1.003318928,0.926776047,-0.208100370,2.844657862,2.567990245,-0.512628294,-2.924768302,-3.161050056,1.201964536,0.000000000,0.000000000,true,0,0
0.460000,0.190222560,0.176821607,1.959103036,1.031614705,0.952293546,-0.213165434,2.814044826,2.535078088,-0.500273430,-3.196340250,-3.419927076,1.268606045,0.000000000,0.000000000,true,0,0
0.470000,0.200678865,0.186470715,1.956946582,1.059590922,0.977469125,-0.218103657,2.780761029,2.499620788,-0.487264218,-3.458920481,-3.670078755,1.332834064,0.000000000,0.000000000,true,0,0
0.480000,0.211413225,0.196369766,1.954741407,1.087221323,1.002277769,-0.222908617,2.744896389,2.461705597,-0.473624793,-3.712508995,-3.911505096,1.394648594,0.000000000,0.000000000,true,0,0
0.490000,0.222422054,0.206514967,1.952488875,1.114480547,1.026695335,-0.227574133,2.706540822,2.421419770,-0.459379291,-3.957105791,-4.144206097,1.454049634,0.000000000,0.000000000,true,0,0
0.500000,0.233701517,0.216902291,1.950190409,1.141344136,1.050698553,-0.232094263,2.665784245,2.378850560,-0.444551845,-4.192710870,-4.368181759,1.511037184,0.000000000,0.000000000,true,0,0
0.510000,0.245247539,0.227527482,1.947847493,1.167788528,1.074265026,-0.236463310,2.622716577,2.334085220,-0.429166592,-4.419324232,-4.583432081,1.565611244,0.000000000,0.000000000,true,0,0
0.520000,0.257055815,0.238386064,1.945461665,1.193791063,1.097373228,-0.240675816,2.577427733,2.287211003,-0.413247666,-4.636945877,-4.789957064,1.617771815,0.000000000,0.000000000,true,0,0
0.530000,0.269121815,0.249473350,1.943034516,1.219329979,1.120002507,-0.244726565,2.530007632,2.238315163,-0.396819201,-4.845575804,-4.987756707,1.667518895,0.000000000,0.000000000,true,0,0
0.540000,0.281440799,0.260784452,1.940567689,1.244384411,1.142133083,-0.248610582,2.480546189,2.187484953,-0.379905333,-5.045214015,-5.176831011,1.714852486,0.000000000,0.000000000,true,0,0
0.550000,0.294007822,0.272314287,1.938062876,1.268934398,1.163746049,-0.252323134,2.429133324,2.134807627,-0.362530196,-5.235860508,-5.357179976,1.759772587,0.000000000,0.000000000,true,0,0
0.560000,0.306817742,0.284057587,1.935521813,1.292960873,1.184823370,-0.255859729,2.375858952,2.080370438,-0.344717926,-5.417515283,-5.528803601,1.802279199,0.000000000,0.000000000,true,0,0
0.570000,0.319865234,0.296008911,1.932946282,1.316445671,1.205347883,-0.259216116,2.320812990,2.024260640,-0.326492657,-5.590178342,-5.691701887,1.842372320,0.000000000,0.000000000,true,0,0
0.580000,0.333144792,0.308162648,1.930338105,1.339371527,1.225303298,-0.262388286,2.264085357,1.966565485,-0.307878524,-5.753849683,-5.845874834,1.880051952,0.000000000,0.000000000,true,0,0
0.590000,0.346650746,0.320513029,1.927699143,1.361722073,1.244674199,-0.265372471,2.205765969,1.907372227,-0.288899663,-5.908529307,-5.991322441,1.915318094,0.000000000,0.000000000,true,0,0
0.600000,0.360377264,0.333054135,1.925031294,1.383481840,1.263446040,-0.268165144,2.145944743,1.846768120,-0.269580207,-6.054217214,-6.128044708,1.948170746,0.000000000,0.000000000,true,0,0
0.610000,0.374318365,0.345779907,1.922336490,1.404636261,1.281605149,-0.270763020,2.084711597,1.784840418,-0.249944293,-6.190913404,-6.256041637,1.978609909,0.000000000,0.000000000,true,0,0
0.620000,0.388467926,0.358684153,1.919616693,1.425171666,1.299138727,-0.273163055,2.022156448,1.721676372,-0.230016054,-6.318617876,-6.375313226,2.006635581,0.000000000,0.000000000,true,0,0
0.630000,0.402819692,0.371760556,1.916873897,1.445075283,1.316034846,-0.275362447,1.958369212,1.657363238,-0.209819626,-6.437330631,-6.485859475,2.032247764,0.000000000,0.000000000,true,0,0
0.640000,0.417367286,0.385002688,1.914110122,1.464335243,1.332282452,-0.277358634,1.893439807,1.591988267,-0.189379144,-6.547051669,-6.587680385,2.055446457,0.000000000,0.000000000,true,0,0
0.650000,0.432104215,0.398404010,1.911327410,1.482940572,1.347871363,-0.279149297,1.827458151,1.525638714,-0.168718742,-6.647780990,-6.680775956,2.076231661,0.000000000,0.000000000,true,0,0
0.660000,0.447023882,0.411957888,1.908527828,1.500881198,1.362792269,-0.280732357,1.760514160,1.458401833,-0.147862556,-6.739518593,-6.765146187,2.094603374,0.000000000,0.000000000,true,0,0
0.670000,0.462119593,0.425657600,1.905713461,1.518147947,1.377036733,-0.282105976,1.692697752,1.390364875,-0.126834720,-6.822264480,-6.840791079,2.110561598,0.000000000,0.000000000,true,0,0
0.680000,0.477384567,0.439496343,1.902886412,1.534732545,1.390597190,-0.283268559,1.624098843,1.321615095,-0.105659369,-6.896018649,-6.907710632,2.124106332,0.000000000,0.000000000,true,0,0
0.690000,0.492811945,0.453467242,1.900048798,1.550627615,1.403466949,-0.284218752,1.554807351,1.252239747,-0.084360638,-6.960781100,-6.965904845,2.135237576,0.000000000,0.000000000,true,0,0
0.700000,0.508394799,0.467563360,1.897202748,1.565826683,1.415640191,-0.284955441,1.484913193,1.182326083,-0.062962662,-7.016551835,-7.015373719,2.143955330,0.000000000,0.000000000,true,0,0
0.710000,0.524126140,0.481777707,1.894350403,1.580324170,1.427111967,-0.285477755,1.414506287,1.111961357,-0.041489576,-7.063330852,-7.056117253,2.150259595,0.000000000,0.000000000,true,0,0
0.720000,0.539998928,0.496103247,1.891493910,1.594115399,1.437878205,-0.285785063,1.343676549,1.041232822,-0.019965515,-7.101118152,-7.088135448,2.154150369,0.000000000,0.000000000,true,0,0
0.730000,0.556006081,0.510532909,1.888635420,1.607196591,1.447935702,-0.285876976,1.272513896,0.970227732,0.001585386,-7.129913735,-7.111428304,2.155627654,0.000000000,0.000000000,true,0,0
0.740000,0.572140484,0.525059591,1.885777089,1.619564867,1.457282129,-0.285753346,1.201108246,0.899033341,0.023138993,-7.149717601,-7.125995820,2.154691449,0.000000000,0.000000000,true,0,0
0.750000,0.588394995,0.539676176,1.882921071,1.631218246,1.465916029,-0.285414267,1.129549516,0.827736901,0.044671170,-7.160529749,-7.131837997,2.151341755,0.000000000,0.000000000,true,0,0
